"CODI_ESTACIO";"NOM_ESTACIO";"CODI_TIPUS";"LATITUD";"LONGITUD";"Georeferència";"EMPLACAMENT";"ALTITUD";"CODI_MUNICIPI";"NOM_MUNICIPI";"CODI_COMARCA";"NOM_COMARCA";"CODI_PROVINCIA";"NOM_PROVINCIA";"CODI_XARXA";"NOM_XARXA";"CODI_ESTAT";"NOM_ESTAT";"DATA_ALTA";"DATA_BAIXA"
"UI";"Gisclareny";"A";"42,26478";"1,76216";"POINT (1.76216 42.26478)";"Coll de la Bena - Font del Cabrer";"1.388";"80930";"Gisclareny";"14";"Berguedà";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"12/03/1999";
"DJ";"Banyoles";"A";"42,11655";"2,78971";"POINT (2.78971 42.11655)";"Abocador comarcal de Puigpalter";"178";"170157";"Banyoles";"28";"Pla de l'Estany";"17";"Girona";"1";"XEMA";"2";"Operativa";"11/10/1999";
"WF";"Vilablareix";"A";"41,95425";"2,77578";"POINT (2.77578 41.95425)";"Mas Saüch";"108";"172155";"Vilablareix";"20";"Gironès";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"11/04/2001";"01/10/2015"
"WI";"Maials";"A";"41,35741";"0,4809";"POINT (0.4809 41.35741)";"Paratge d'Argelagar";"350";"251333";"Maials";"33";"Segrià";"25";"Lleida";"1";"XEMA";"2";"Operativa";"20/12/2000";
"UX";"Ulldecona - els Valentins";"A";"40,62653";"0,3711";"POINT (0.3711 40.62653)";"Comunitat de regants del Pou Valentins";"211";"431567";"Ulldecona";"22";"Montsià";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"15/11/1990";
"VY";"Nulles";"A";"41,25095";"1,29863";"POINT (1.29863 41.25095)";"Cooperativa agrària";"239";"430982";"Nulles";"1";"Alt Camp";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"18/09/2000";
"YO";"Sant Sadurní d'Anoia";"A";"41,4353";"1,79322";"POINT (1.79322 41.4353)";"Camp de civada entre vinyes";"155";"82401";"Sant Sadurní d'Anoia";"3";"Alt Penedès";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"07/05/2021";
"Y7";"Port de Barcelona - Bocana Sud";"A";"41,31726";"2,16539";"POINT (2.16539 41.31726)";"Port de Barcelona";"3";"81691";"El Prat de Llobregat";"11";"Baix Llobregat";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"08/04/2015";
"XC";"Castellbisbal";"A";"41,47892";"1,97546";"POINT (1.97546 41.47892)";"Turó de la Verdalaga";"146";"80543";"Castellbisbal";"40";"Vallès Occidental";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"18/03/2008";
"DQ";"Vila-rodona";"A";"41,30727";"1,3626";"POINT (1.3626 41.30727)";"Nova estació";"286";"431704";"Vila-rodona";"1";"Alt Camp";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"29/07/2005";
"D8";"Horta de Sant Joan";"A";"40,95134";"0,30563";"POINT (0.30563 40.95134)";"Les Forques";"517";"430712";"Horta de Sant Joan";"37";"Terra Alta";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"28/01/1998";
"W4";"Vilafranca del Penedès - la Granada";"A";"41,36619";"1,72859";"POINT (1.72859 41.36619)";"Rasa de Sagols";"240";"83054";"Vilafranca del Penedès";"3";"Alt Penedès";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"25/12/1999";
"YA";"Puigcerdà";"A";"42,44013";"1,93482";"POINT (1.93482 42.44013)";"Poliesportiu municipal";"1.214";"171411";"Puigcerdà";"15";"Cerdanya";"17";"Girona";"1";"XEMA";"2";"Operativa";"22/03/2016";
"Z1";"Bonaigua (2.262 m)";"A";"42,64691";"0,98486";"POINT (0.98486 42.64691)";"Port de la Bonaigua";"2.262";"250241";"Alt Àneu";"26";"Pallars Sobirà";"25";"Lleida";"1";"XEMA";"2";"Operativa";"06/11/1997";
"UW";"els Alfacs";"A";"40,62725";"0,6592";"POINT (0.6592 40.62725)";"IRTA Centre d'Aqüicultura, crta. Poble Nou del Delta, km 5,5";"1";"431362";"La Ràpita";"22";"Montsià";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"06/07/1994";
"UC";"Monells";"A";"41,97726";"2,99705";"POINT (2.99705 41.97726)";"Finca Camps i Armet - Escola Capacitació Agrària";"60";"179011";"Cruïlles, Monells i Sant Sadurní de l'Heura";"10";"Baix Empordà";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"04/03/1998";"15/06/2021"
"ZD";"la Tosa d'Alp (2.478 m)";"A";"42,32213";"1,89716";"POINT (1.89716 42.32213)";"Tosa d'Alp";"2.478";"170062";"Alp";"15";"Cerdanya";"17";"Girona";"1";"XEMA";"2";"Operativa";"04/09/2014";
"D1";"Margalef";"A";"41,28522";"0,75387";"POINT (0.75387 41.28522)";"Dipòsit d'aigua";"404";"430751";"Margalef";"29";"Priorat";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"14/01/1996";
